municipio_sae;clave_provincial;municipio_code;number_mun_code;municipio;tipo;rama;escuela;number_escuela;cue;cs;dmclc;dmc;cupo_total;long;lat;ubicacion_cue;zona;cupo;clusters;clusters_2;cluster_asignado_2;muni_cluster;n
A BROWN;0004JI0947;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;88;3;617176;0;0;140;140;-58.37662;-34.78782;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004JI0948;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;89;3;620075;0;0;130;130;-58.39552;-34.90520;Urbano;Urbano;88622;12;12;1;4-1;30
A BROWN;0004JI0949;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;90;3;620914;130;0;130;260;-58.33778;-34.76184;Urbano;Urbano;88622;12;12;9;4-9;11
A BROWN;0004JI0950;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;91;3;620068;0;0;140;140;-58.37485;-34.81133;Urbano;Urbano;88622;12;12;8;4-8;20
A BROWN;0004JI0951;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;92;3;620069;80;0;122;202;-58.32891;-34.76979;Urbano;Urbano;88622;12;12;9;4-9;11
A BROWN;0004JI0952;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;93;3;620837;0;0;127;127;-58.39622;-34.83454;Urbano;Urbano;88622;12;12;12;4-12;27
A BROWN;0004JI0953;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;94;3;622066;141;0;163;304;-58.43669;-34.83290;Urbano;Urbano;88622;12;12;12;4-12;27
A BROWN;0004JI0954;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;95;3;622923;0;0;74;74;-58.41975;-34.83014;Urbano;Urbano;88622;12;12;12;4-12;27
A BROWN;0004JI0955;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;96;3;622924;0;0;133;133;-58.33553;-34.77150;Urbano;Urbano;88622;12;12;9;4-9;11
A BROWN;0004JI0956;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;97;3;623155;0;0;84;84;-58.33683;-34.79746;Urbano;Urbano;88622;12;12;5;4-5;13
A BROWN;0004JI0957;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;98;3;623307;0;0;110;110;-58.32722;-34.78977;Urbano;Urbano;88622;12;12;2;4-2;20
A BROWN;0004JI0958;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;99;3;623338;0;0;93;93;-58.35447;-34.85669;Urbano;Urbano;88622;12;12;4;4-4;20
A BROWN;0004JI0959;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;100;3;623516;0;0;120;120;-58.39361;-34.87869;12;Urbano;88622;12;12;10;4-10;25
A BROWN;0004JI0960;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;101;3;623515;0;0;150;150;-58.38117;-34.85554;12;Urbano;88622;12;12;4;4-4;20
A BROWN;0004PP0001;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;102;1;607598;0;0;423;423;-58.38429;-34.79731;Urbano;Urbano;88622;12;12;3;4-3;27
